data,variavel,valor
1998-11-01,Livres,-0.14
1998-11-01,Monitorados,-0.03
1998-11-01,Não comercializáveis,-0.16
1998-11-01,Não-duráveis,-0.26
1998-11-01,Semi-duráveis,0.17
1998-11-01,Serviços,0.0
1998-12-01,Comercializáveis,0.03
1998-12-01,Duráveis,-0.77
1998-12-01,Livres,0.02
1998-12-01,Monitorados,1.9
1998-12-01,Não comercializáveis,0.02
1998-12-01,Não-duráveis,0.24
1998-12-01,Semi-duráveis,-0.11
1998-12-01,Serviços,0.04
1999-01-01,Comercializáveis,0.42
1999-01-01,Duráveis,0.96
1999-01-01,Livres,0.6
1999-01-01,Monitorados,1.19
1999-01-01,Não comercializáveis,0.77
1999-01-01,Não-duráveis,0.8
1999-01-01,Semi-duráveis,0.19
1999-01-01,Serviços,0.49
1999-02-01,Comercializáveis,2.14
1999-02-01,Duráveis,2.5
1999-02-01,Livres,0.93
1999-02-01,Monitorados,1.63
1999-02-01,Não comercializáveis,-0.15
1999-02-01,Não-duráveis,2.33
1999-02-01,Semi-duráveis,-0.12
1999-02-01,Serviços,-0.36
1999-03-01,Comercializáveis,1.69
1999-03-01,Duráveis,1.02
1999-03-01,Livres,1.04
1999-03-01,Monitorados,1.41
1999-03-01,Não comercializáveis,0.45
1999-03-01,Não-duráveis,2.14
1999-03-01,Semi-duráveis,0.25
1999-03-01,Serviços,0.26
1999-04-01,Comercializáveis,0.78
1999-04-01,Duráveis,0.83
1999-04-01,Livres,0.37
1999-04-01,Monitorados,1.49
1999-04-01,Não comercializáveis,-0.01
1999-04-01,Não-duráveis,0.33
1999-04-01,Semi-duráveis,0.92
1999-04-01,Serviços,0.1
1999-05-01,Comercializáveis,0.48
1999-05-01,Duráveis,2.11
1999-05-01,Livres,0.22
1999-05-01,Monitorados,0.68
1999-05-01,Não comercializáveis,-0.02
1999-05-01,Não-duráveis,-0.35
1999-05-01,Semi-duráveis,0.62
1999-05-01,Serviços,0.22
1999-06-01,Comercializáveis,-0.09
1999-06-01,Duráveis,0.77
1999-06-01,Livres,-0.1
1999-06-01,Monitorados,1.62
1999-06-01,Não comercializáveis,-0.11
1999-06-01,Não-duráveis,-0.82
1999-06-01,Semi-duráveis,0.39
1999-06-01,Serviços,0.21
1999-07-01,Comercializáveis,0.35
1999-07-01,Duráveis,0.41
1999-07-01,Livres,0.1
1999-07-01,Monitorados,5.83
1999-07-01,Não comercializáveis,-0.13
1999-07-01,Não-duráveis,0.03
1999-07-01,Semi-duráveis,0.24
1999-07-01,Serviços,0.04
1999-08-01,Alimentos,0.17
1999-08-01,Comercializáveis,0.32
1999-08-01,Duráveis,0.46
1999-08-01,Industriais,0.37
1999-08-01,Livres,0.24
1999-08-01,Monitorados,1.55
1999-08-01,Não comercializáveis,0.15
1999-08-01,Não-duráveis,0.31
1999-08-01,Semi-duráveis,0.08
1999-08-01,Serviços,0.1
1999-09-01,Alimentos,0.42
1999-09-01,Comercializáveis,0.34
1999-09-01,Duráveis,0.45
1999-09-01,Industriais,0.37
1999-09-01,Livres,0.23
1999-09-01,Monitorados,0.55
1999-09-01,Não comercializáveis,0.12
1999-09-01,Não-duráveis,0.36
1999-09-01,Semi-duráveis,0.43
1999-09-01,Serviços,-0.1
1999-10-01,Alimentos,2.3
1999-10-01,Comercializáveis,2.41
1999-10-01,Duráveis,4.39
1999-10-01,Industriais,1.77
1999-10-01,Livres,1.34
1999-10-01,Monitorados,0.75
1999-10-01,Não comercializáveis,0.12
1999-10-01,Não-duráveis,1.34
1999-10-01,Semi-duráveis,0.87
1999-10-01,Serviços,0.01
1999-11-01,Alimentos,1.66
1999-11-01,Comercializáveis,1.05
1999-11-01,Duráveis,0.68
1999-11-01,Industriais,0.52
1999-11-01,Livres,0.65
1999-11-01,Monitorados,1.86
1999-11-01,Não comercializáveis,0.2
1999-11-01,Não-duráveis,1.06
1999-11-01,Semi-duráveis,0.65
1999-11-01,Serviços,0.09
1999-12-01,Alimentos,1.55
1999-12-01,Comercializáveis,0.87
1999-12-01,Duráveis,-0.17
1999-12-01,Industriais,0.29
1999-12-01,Livres,0.58
1999-12-01,Monitorados,0.67
